Date, Open, High, Low, Close
09/16/20,11467.90,11486.09,11242.96,11247.60
09/15/20,11432.94,11495.40,11367.20,11438.87
09/14/20,11250.80,11363.25,11192.82,11277.76
09/11/20,11251.19,11280.41,10945.22,11087.40
09/10/20,11501.43,11566.34,11095.94,11154.12
09/09/20,11308.25,11480.37,11197.13,11395.85
09/08/20,11143.91,11400.45,11055.16,11068.26
09/04/20,11686.24,11846.18,11145.99,11622.13
09/03/20,12195.75,12235.00,11662.10,11771.37
09/02/20,12417.45,12439.48,12176.18,12420.54
09/01/20,12203.36,12300.44,12132.78,12292.86
08/31/20,12017.46,12167.46,12000.11,12110.70
08/28/20,11992.68,12018.15,11928.69,11995.85
08/27/20,11997.89,12047.99,11842.84,11926.16
08/26/20,11779.35,11979.65,11768.00,11971.94
08/25/20,11610.58,11723.94,11580.90,11721.81
08/24/20,11703.34,11728.09,11535.55,11626.17
08/21/20,11476.85,11574.79,11461.53,11555.16
08/20/20,11277.05,11497.18,11268.46,11477.05
08/19/20,11397.23,11440.22,11303.40,11318.64
08/18/20,11339.76,11421.10,11279.08,11399.03
08/17/20,11231.97,11306.47,11228.15,11288.57
08/14/20,11187.82,11213.27,11106.93,11164.45
08/13/20,11174.64,11271.22,11139.64,11178.37
08/12/20,10972.07,11190.25,10970.87,11157.72
08/11/20,11039.68,11090.92,10855.06,10876.08
08/10/20,11153.51,11159.38,10941.87,11085.17
08/07/20,11235.24,11276.30,11044.60,11139.39
08/06/20,11116.49,11282.23,11090.50,11267.08
08/05/20,11107.24,11141.68,11077.70,11125.44
08/04/20,11048.50,11097.85,11002.55,11096.54
08/03/20,11018.02,11085.50,10997.68,11055.08
07/31/20,10886.36,10908.34,10707.40,10905.88
07/30/20,10578.63,10737.03,10531.78,10715.51
07/29/20,10602.40,10694.88,10587.19,10662.98
07/28/20,10644.33,10662.19,10527.43,10532.50
07/27/20,10547.11,10689.55,10527.65,10674.38
07/24/20,10389.53,10543.42,10313.94,10483.13
07/23/20,10853.16,10885.38,10531.22,10580.59
07/22/20,10850.92,10910.24,10776.24,10870.75
07/21/20,11015.54,11017.43,10800.87,10833.07
07/20/20,10672.96,10971.52,10621.90,10952.08
07/17/20,10651.59,10680.70,10558.78,10645.22
07/16/20,10589.86,10658.90,10495.09,10626.46
07/15/20,10752.11,10780.40,10570.96,10701.68
07/14/20,10502.85,10701.88,10370.79,10689.52
07/13/20,10951.54,11069.26,10574.56,10602.21
07/10/20,10751.77,10842.78,10639.48,10836.33
07/09/20,10745.87,10785.97,10574.97,10754.59
07/08/20,10594.41,10669.13,10528.82,10666.70
07/07/20,10595.94,10704.93,10516.63,10524.01
07/06/20,10487.70,10625.09,10485.82,10604.06
07/02/20,10386.38,10432.55,10328.78,10341.89
07/01/20,10160.41,10321.77,10142.75,10279.25
06/30/20,9970.21,10185.35,9956.83,10156.85
06/29/20,9850.55,9965.08,9742.90,9961.16
06/26/20,10087.08,10093.98,9837.74,9849.36
06/25/20,10003.50,10110.29,9901.21,10101.83
06/24/20,10183.77,10232.43,9943.25,10002.70
06/23/20,10192.42,10306.90,10172.07,10209.82
06/22/20,10009.00,10134.64,9989.49,10130.33
06/19/20,10104.63,10121.67,9937.82,10008.64
06/18/20,9972.35,10018.56,9942.10,10012.05
06/17/20,9998.86,10058.65,9952.50,9982.48
06/16/20,9983.65,10010.89,9801.45,9949.37
06/15/20,9517.14,9809.41,9489.58,9776.89
06/12/20,9785.58,9849.01,9499.09,9663.77
06/11/20,9907.56,9978.19,9586.25,9588.48
06/10/20,10037.98,10155.20,10022.44,10094.26
06/09/20,9861.18,10006.90,9859.00,9967.17
06/08/20,9805.69,9904.52,9753.88,9901.52
06/05/20,9673.09,9846.63,9659.45,9824.39
06/04/20,9672.17,9741.97,9577.70,9629.66
06/03/20,9689.72,9729.69,9648.93,9704.69
06/02/20,9603.18,9660.08,9511.88,9657.31
06/01/20,9526.43,9609.38,9515.34,9598.89
05/29/20,9440.64,9573.56,9379.93,9555.52
05/28/20,9404.83,9568.89,9391.84,9416.71
05/27/20,9366.63,9445.06,9182.44,9442.05
05/26/20,9570.53,9570.53,9379.90,9389.98
05/22/20,9363.68,9421.93,9325.07,9413.99
05/21/20,9487.63,9515.06,9361.83,9377.99
05/20/20,9415.25,9498.28,9412.84,9485.02
05/19/20,9326.28,9422.90,9296.25,9298.54
05/18/20,9281.35,9367.54,9248.78,9331.93
05/15/20,8976.29,9157.47,8958.08,9152.64
05/14/20,8946.45,9097.75,8860.77,9094.43
05/13/20,9123.69,9209.49,8890.16,9000.08
05/12/20,9326.06,9354.44,9109.09,9112.45
05/11/20,9155.21,9346.27,9155.21,9298.92
05/08/20,9165.70,9224.49,9126.97,9220.35
05/07/20,9104.67,9136.18,9045.23,9101.88
05/06/20,8997.02,9065.58,8950.90,8984.86
05/05/20,8922.39,9031.00,8900.57,8930.62
05/04/20,8683.94,8840.33,8665.40,8834.11
05/01/20,8791.88,8887.58,8688.58,8718.18
04/30/20,9005.24,9023.03,8920.42,9000.51
04/29/20,8871.04,9025.82,8832.00,8982.76
04/28/20,8913.28,8918.38,8668.67,8677.60
04/27/20,8865.58,8887.62,8803.89,8837.66
04/24/20,8666.57,8791.35,8599.99,8786.60
04/23/20,8693.73,8796.48,8624.63,8641.50
04/22/20,8575.57,8708.48,8550.61,8664.63
04/21/20,8639.74,8663.09,8359.84,8403.00
04/20/20,8742.54,8855.18,8725.32,8726.51
04/17/20,8876.66,8879.24,8704.38,8832.41
04/16/20,8689.09,8793.35,8605.51,8757.83
04/15/20,8548.47,8666.24,8500.56,8591.96
04/14/20,8489.27,8708.55,8470.74,8692.16
04/09/20,8284.31,8334.23,8167.93,8238.53
04/08/20,8134.30,8254.41,8058.41,8229.54
04/07/20,8287.48,8305.59,8043.07,8049.31
04/06/20,7819.06,8110.66,7763.09,8081.66
04/03/20,7631.57,7673.49,7439.78,7528.11
04/02/20,7445.88,7641.86,7432.28,7635.66
04/01/20,7582.78,7701.68,7423.97,7486.29
03/31/20,7855.74,8011.60,7765.45,7813.50
03/30/20,7678.83,7902.09,7651.43,7889.01
03/27/20,7657.44,7817.74,7580.22,7588.37
03/26/20,7549.83,7913.11,7549.83,7897.13
03/25/20,7543.96,7777.61,7390.41,7469.62
03/24/20,7348.99,7555.91,7304.39,7553.82
03/23/20,6952.71,7145.29,6771.91,7006.92
03/20/20,7391.22,7487.83,6969.77,6994.29
03/19/20,7190.21,7514.13,7037.47,7288.52
03/18/20,7023.86,7336.88,6837.53,7175.18
03/17/20,7198.53,7550.13,6959.15,7473.95
03/16/20,7502.26,7563.44,6993.60,7020.38
03/13/20,7683.04,7998.51,7301.88,7995.26
